epoch,train_loss,train_accuracy,fold,val_accuracy
1,0.2545144915092501,89.34470874968311,1,95.31296763435805
2,0.0950827107430007,95.3873339307184,1,95.31296763435805
3,0.0778174070106478,95.86323396159166,1,95.31296763435805
4,0.0721800419092992,96.06252964962611,1,95.31296763435805
5,0.0674223980222853,96.16518951915523,1,95.31296763435805
6,0.0649009302684512,96.26107233128263,1,95.31296763435805
7,0.063198768222029,96.2703594099442,1,95.31296763435805
8,0.0618848871292203,96.31955582663784,1,95.31296763435805
9,0.0613233251715545,96.3245758691576,1,95.31296763435805
10,0.0606730888469621,96.34842107112648,1,95.31296763435805
1,0.0488133539537605,98.02805390791244,2,84.82464924988575
2,0.0463107789012658,98.07636954264626,2,84.82464924988575
3,0.0459071148382224,98.083822486302,2,84.82464924988575
4,0.0456740829764289,98.0794535193314,2,84.82464924988575
5,0.0449902933401493,98.1077233056118,2,84.82464924988575
6,0.045392305417504,98.0987283736135,2,84.82464924988575
7,0.0441872901678403,98.1282831501794,2,84.82464924988575
8,0.0446330229168923,98.1133772628679,2,84.82464924988575
9,0.0444562982795392,98.11928821818108,2,84.82464924988575
10,0.0441626586536202,98.12519917349424,2,84.82464924988575
1,0.070793818550707,96.50397859090724,3,96.14688179657074
2,0.0680224647997723,96.529925922911,3,96.14688179657074
3,0.0675633774299058,96.52102242663518,3,96.14688179657074
4,0.0670978512916917,96.54417151695226,3,96.14688179657074
5,0.066974616152341,96.53450486385282,3,96.14688179657074
6,0.0667558290372949,96.5586714966014,3,96.14688179657074
7,0.0662128816114277,96.55841711099352,3,96.14688179657074
8,0.0667498345804536,96.54544344499166,3,96.14688179657074
9,0.0666978885694031,96.54213643208922,3,96.14688179657074
10,0.0659747375284496,96.55180308518864,3,96.14688179657074
1,0.0834460356582008,95.69732049298938,4,99.71691591963923
2,0.0823460781957483,95.72676014170948,4,99.71691591963923
3,0.0821287033970599,95.7125392944464,4,99.71691591963923
4,0.082290731799238,95.70031435557108,4,99.71691591963923
5,0.0813206949849324,95.7237662791278,4,99.71691591963923
6,0.0816285521330818,95.73025298138816,4,99.71691591963923
7,0.082511903574193,95.69981537847411,4,99.71691591963923
8,0.081735967864826,95.72326730203083,4,99.71691591963923
9,0.0813754630443969,95.72451474477322,4,99.71691591963923
10,0.0815529075557054,95.71877650815829,4,99.71691591963923
1,0.0806174252568471,95.56807565197812,5,94.99137914700924
2,0.079877468800211,95.67625342584518,5,94.99137914700924
3,0.0794374030243831,95.73758867083676,5,94.99137914700924
4,0.0782392910200733,95.81160504243002,5,94.99137914700924
5,0.0792070132306659,95.84033167616026,5,94.99137914700924
6,0.0786199073876991,95.82842694506483,5,94.99137914700924
7,0.078923477886418,95.835932101625,5,94.99137914700924
8,0.0773983836111079,95.88950339155436,5,94.99137914700924
9,0.0783328705064091,95.8690583098905,5,94.99137914700924
10,0.0775760848188674,95.8853626155212,5,94.99137914700924
