epoch,train_loss,train_accuracy,fold,val_accuracy
1,0.0640212796485149,96.54929840972872,1,92.68916604453032
2,0.0626804865141414,96.61764889304646,1,92.68916604453032
3,0.0624819163278834,96.63236669784844,1,92.68916604453032
4,0.0616577876821555,96.65506704084814,1,92.68916604453032
5,0.0616449076976118,96.65581540380418,1,92.68916604453032
6,0.061365555640605,96.68350483317742,1,92.68916604453032
7,0.0608920874755049,96.71618334892425,1,92.68916604453032
8,0.0608103950273026,96.72341752416588,1,92.68916604453032
9,0.0607919828721832,96.70346117867166,1,92.68916604453032
10,0.0606205786003268,96.72017461802308,1,92.68916604453032
1,0.0636379999852461,96.4781389921232,2,96.68691952047789
2,0.0631607668710171,96.48448103096185,2,96.68691952047789
3,0.0630581083459562,96.48346630474764,2,96.68691952047789
4,0.0631433318115093,96.50274610281711,2,96.68691952047789
5,0.062899308274621,96.50579028145968,2,96.68691952047789
6,0.0628230979321403,96.48955466203276,2,96.68691952047789
7,0.0628613010632454,96.48600312028312,2,96.68691952047789
8,0.0628120732109679,96.5136544096196,2,96.68691952047789
9,0.0628138432118969,96.50097033194233,2,96.68691952047789
10,0.0629211040556902,96.50553659990614,2,96.68691952047789
1,0.0473643361046038,97.30119462837604,3,80.4750030165306
2,0.0461798001831339,97.34399641280282,3,80.4750030165306
3,0.0457594335483827,97.3715118456486,3,80.4750030165306
4,0.0455140051691454,97.36641639512162,3,80.4750030165306
5,0.0451674481005419,97.40132023123157,3,80.4750030165306
6,0.0451912657538581,97.37839070386006,3,80.4750030165306
7,0.0453775794472136,97.3862886521769,3,80.4750030165306
8,0.0450523920068143,97.4051418191268,3,80.4750030165306
9,0.044831103171405,97.41278499491727,3,80.4750030165306
10,0.0448578364567808,97.39775341586264,3,80.4750030165306
1,0.0295290628078534,99.1478311197758,4,86.1032614794487
2,0.0276840754482523,99.16585435197597,4,86.1032614794487
3,0.0272829681876205,99.1694082287478,4,86.1032614794487
4,0.0270081656073329,99.17296210551967,4,86.1032614794487
5,0.027053670665625,99.16966207708866,4,86.1032614794487
6,0.0267946476677219,99.16864668372529,4,86.1032614794487
7,0.0264514688974808,99.17600828560984,4,86.1032614794487
8,0.0265241014191866,99.16864668372529,4,86.1032614794487
9,0.0262960947223163,99.16966207708866,4,86.1032614794487
10,0.0261494497494713,99.17169286381544,4,86.1032614794487
1,0.0732813914889193,95.57261669639136,5,98.73811958044604
2,0.0711643360993223,95.56692197979412,5,98.73811958044604
3,0.0708619655196626,95.56278036772338,5,98.73811958044604
4,0.0710171654631648,95.56511002451316,5,98.73811958044604
5,0.0708090004342435,95.58478268184912,5,98.73811958044604
6,0.0706310056969918,95.57882911449744,5,98.73811958044604
7,0.0708448736588759,95.57598175619884,5,98.73811958044604
8,0.0708216589296489,95.55656794961727,5,98.73811958044604
9,0.0705836971283314,95.643800653857,5,98.73811958044604
10,0.0704545990226752,95.6186921306782,5,98.73811958044604
