epoch,train_loss,train_accuracy,fold,val_accuracy
1,0.2572439938907346,89.14050514499532,1,86.62443458785297
2,0.1010192404441668,95.19600873090116,1,86.62443458785297
3,0.086460912626327,95.71537262238851,1,86.62443458785297
4,0.0802875980612908,95.94936077330838,1,86.62443458785297
5,0.0765519844261646,96.0878079201746,1,86.62443458785297
6,0.0742872331373507,96.17337075148112,1,86.62443458785297
7,0.0729271683185973,96.24995322731525,1,86.62443458785297
8,0.0715240221756057,96.30084190832554,1,86.62443458785297
9,0.0703139264642952,96.32853133769878,1,86.62443458785297
10,0.0705365047247136,96.34474586841284,1,86.62443458785297
1,0.0744906835254983,96.28635573764254,2,96.50177979624402
2,0.0699813970975432,96.38605258818605,2,96.50177979624402
3,0.0695318357362835,96.38275472798996,2,96.50177979624402
4,0.0689955404373006,96.40381029693424,2,96.50177979624402
5,0.0683341414365288,96.40254188916651,2,96.50177979624402
6,0.0679751220308909,96.41471860373672,2,96.50177979624402
7,0.06813213162868,96.39619985032787,2,96.50177979624402
8,0.068016693523069,96.41979223480764,2,96.50177979624402
9,0.0675004267929025,96.4228364134502,2,96.50177979624402
10,0.0679097914279063,96.4266416367534,2,96.50177979624402
1,0.0529371253126715,97.0596702733964,3,80.72738607569481
2,0.051674994057672,97.12642067530004,3,80.72738607569481
3,0.0510421074322474,97.1694772322532,3,80.72738607569481
4,0.0508557181260835,97.18196108604432,3,80.72738607569481
5,0.0503336858863838,97.2099860639428,3,80.72738607569481
6,0.0505908616180196,97.22348900783936,3,80.72738607569481
7,0.0499167404628568,97.238520586894,3,80.72738607569481
8,0.0493594559453388,97.25864761647564,3,80.72738607569481
9,0.0498904967413353,97.243616037421,3,80.72738607569481
10,0.050235952542324,97.23520854405145,3,80.72738607569481
1,0.0337564305589102,99.08106900613298,4,85.8971873947951
2,0.0322994433636982,99.09274602981196,4,85.8971873947951
3,0.0315033557032878,99.10823077860364,4,85.8971873947951
4,0.0312065079521092,99.11686162219245,4,85.8971873947951
5,0.0315492399547629,99.10467690183177,4,85.8971873947951
6,0.0308860435345799,99.11356159376142,4,85.8971873947951
7,0.0304670336135391,99.12219243735024,4,85.8971873947951
8,0.0321964889228019,99.09350757483448,4,85.8971873947951
9,0.0305240499488846,99.1252386174404,4,85.8971873947951
10,0.0313029790104562,99.1155923804882,4,85.8971873947951
1,0.0798377178497698,95.53301253096502,5,95.97012382142452
2,0.0775098183240745,95.55656794961727,5,95.97012382142452
3,0.0760479023089029,95.56588657677642,5,95.97012382142452
4,0.0765461825237231,95.54957897924794,5,95.97012382142452
5,0.0761472840965258,95.50091503741687,5,95.97012382142452
6,0.0766362161327766,95.5529440390554,5,95.97012382142452
7,0.0752335265624321,95.5666631290397,5,95.97012382142452
8,0.0756538097557567,95.55216748679214,5,95.97012382142452
9,0.0751452929704008,95.56588657677642,5,95.97012382142452
10,0.075761570464252,95.5744286516723,5,95.97012382142452
