epoch,train_loss,train_accuracy,fold,val_accuracy
1,0.1420981192813544,93.63734710833,1,96.21937663003976
2,0.0772932213385566,95.90490031450568,1,96.21937663003976
3,0.068746813082301,96.14862337884,1,96.21937663003976
4,0.0641022091728437,96.27688546521988,1,96.21937663003976
5,0.0617607964066339,96.3288429052994,1,96.21937663003976
6,0.0595926236570087,96.36272819230778,1,96.21937663003976
7,0.0590915842922066,96.39435446018229,1,96.21937663003976
8,0.0579897494450537,96.43049876632456,1,96.21937663003976
9,0.0578390546163997,96.4317537769545,1,96.21937663003976
10,0.0567446005398421,96.4754281468764,1,96.21937663003976
1,0.0445963320896752,98.12648416377972,2,85.67733906330517
2,0.0430431580872544,98.14961398891823,2,85.67733906330517
3,0.0427531876180039,98.14987098697534,2,85.67733906330517
4,0.0419887240426568,98.16888884320036,2,85.67733906330517
5,0.0420039114959332,98.17300081211386,2,85.67733906330517
6,0.0420365349691373,98.1611789014875,2,85.67733906330517
7,0.0414690876022704,98.1809677518838,2,85.67733906330517
8,0.0416973240131291,98.17505679657062,2,85.67733906330517
9,0.0410877724528913,98.19227566639596,2,85.67733906330517
10,0.0412073120949667,98.18456572468313,2,85.67733906330517
1,0.0658143586151709,96.5942854817046,3,96.26422538060795
2,0.0639146498618477,96.60471529162766,3,96.26422538060795
3,0.0634776861816135,96.60013635068584,3,96.26422538060795
4,0.0634627860660354,96.60980300378526,3,96.26422538060795
5,0.0631056073986352,96.60268020676462,3,96.26422538060795
6,0.0628178153657585,96.60827669013798,3,96.26422538060795
7,0.0626031651410308,96.60751353331432,3,96.26422538060795
8,0.062586264725572,96.61107493182466,3,96.26422538060795
9,0.0624712124640609,96.60318897798038,3,96.26422538060795
10,0.0625226877336899,96.60649599088282,3,96.26422538060795
1,0.0785589217610352,95.75445337059028,4,99.931972042704
2,0.0784021564069445,95.7442243401028,4,99.931972042704
3,0.0780219035395593,95.75270695075096,4,99.931972042704
4,0.0778160545365982,95.7512100194601,4,99.931972042704
5,0.0780078292685164,95.7339953096153,4,99.931972042704
6,0.0777528635035881,95.74646973703906,4,99.931972042704
7,0.0776592588636757,95.7492141110723,4,99.931972042704
8,0.0775271903361892,95.74597075994213,4,99.931972042704
9,0.0775387681396808,95.74222843171498,4,99.931972042704
10,0.0775898670287633,95.73823661493935,4,99.931972042704
1,0.0748192276133137,95.92262959981989,5,97.38721840125808
2,0.0740588443947918,95.94592146500656,5,97.38721840125808
3,0.0738642122035055,95.97128371820985,5,97.38721840125808
4,0.0737559329391355,95.99716356841726,5,97.38721840125808
5,0.0735517759826225,95.99121120286956,5,97.38721840125808
6,0.073461627419242,95.99354038938824,5,97.38721840125808
7,0.073197811697747,96.00208073995668,5,97.38721840125808
8,0.0732735624699136,96.00906829951268,5,97.38721840125808
9,0.0731359751300923,96.01320907554587,5,97.38721840125808
10,0.0731843547107674,96.0088095010106,5,97.38721840125808
